Wall time,Step,Value
1631615334.5598989,1,0.0005540000274777412
1631615487.7622857,2,0.0006079999729990959
1631615629.2448597,3,0.0006619999767281115
1631615769.882198,4,0.0007159999804571271
1631615910.558343,5,0.0007699999841861427
1631616063.1174853,6,0.0008239999879151583
1631616213.1048715,7,0.0008779999916441739
1631616360.8533947,8,0.0009319999953731894
1631616501.0720594,9,0.000986000057309866
1631616642.923585,10,0.0010400000028312206
1631616824.1678226,11,0.0010939999483525753
1631616964.8159137,12,0.0011480000102892518
1631617105.9476376,13,0.0012019999558106065
1631617245.8894858,14,0.001256000017747283
1631617391.4703655,15,0.0013099999632686377
1631617543.1031103,16,0.0013640000252053142
1631617694.2977467,17,0.0014179999707266688
1631617838.1495614,18,0.0014720000326633453
1631617978.844735,19,0.0015259999781847
1631618119.5503972,20,0.0015800000401213765
1631618283.2903492,21,0.0016339999856427312
1631618399.4697924,22,0.0016880000475794077
1631618517.8708324,23,0.0017419999931007624
1631618632.4460976,24,0.0017960000550374389
1631618755.4369006,25,0.0018500000005587935
1631618878.6958618,26,0.0019039999460801482
1631618996.9968832,27,0.0019580000080168247
1631619112.2832115,28,0.0020119999535381794
1631619228.0128913,29,0.002065999899059534
1631619345.2029479,30,0.0021200000774115324
1631619497.124148,31,0.002174000022932887
1631619613.3135133,32,0.0022279999684542418
1631619729.29653,33,0.0022819999139755964
1631619847.0806794,34,0.0023360000923275948
1631619970.7789712,35,0.0023900000378489494
1631620092.0511558,36,0.002443999983370304
1631620207.9231386,37,0.0024979999288916588
1631620326.9034085,38,0.002552000107243657
1631620445.8103757,39,0.002606000052765012
1631620565.624616,40,0.0026599999982863665
1631620716.4448764,41,0.002713999943807721
1631620838.0500154,42,0.002767999889329076
1631620957.5232425,43,0.002822000067681074
1631621082.5700562,44,0.002876000013202429
1631621208.7092597,45,0.0029299999587237835
1631621327.2008715,46,0.002983999904245138
1631621443.3953917,47,0.0030380000825971365
1631621559.0817096,48,0.003092000028118491
1631621674.8266397,49,0.003145999973639846
1631621790.5661716,50,0.0031999999191612005
1631621938.533337,51,0.003254000097513199
1631622054.5159414,52,0.0033080000430345535
1631622167.6452458,53,0.003361999988555908
1631622291.0229764,54,0.003415999934077263
1631622414.7175393,55,0.003470000112429261
1631622533.0637631,56,0.003524000057950616
1631622648.5620832,57,0.0035780000034719706
1631622764.7742379,58,0.0036319999489933252
1631622880.5768309,59,0.00368599989451468
1631622996.3048236,60,0.0037400000728666782
1631623145.5064394,61,0.003794000018388033
1631623261.6394596,62,0.0038479999639093876
1631623376.2510843,63,0.0039019999094307423
1631623499.7572875,64,0.003955999854952097
1631623622.7569804,65,0.004009999800473452
1631623738.3455727,66,0.004064000211656094
1631623862.6327991,67,0.004118000157177448
1631623986.5628793,68,0.004172000102698803
1631624109.593198,69,0.004226000048220158
1631624228.0748713,70,0.004279999993741512
1631624376.5465755,71,0.004333999939262867
1631624489.4567342,72,0.004387999884784222
1631624613.2070312,73,0.004441999830305576
1631624736.9904733,74,0.004495999775826931
1631624855.84977,75,0.004550000187009573
1631624971.8938637,76,0.004604000132530928
1631625087.5052931,77,0.004658000078052282
1631625203.0109653,78,0.004712000023573637
1631625318.6214914,79,0.004765999969094992
1631625434.0982647,80,0.004819999914616346
1631625582.2840106,81,0.004873999860137701
