Wall time,Step,Value
1631805933.911193,10,1.173980712890625
1631806054.62026,20,1.1360427141189575
1631806177.2317657,30,1.0418721437454224
1631806299.1960545,40,1.0159962177276611
1631806419.2646582,50,0.9689757227897644
1631806542.6626196,60,1.0827471017837524
1631806665.8165135,70,1.1169157028198242
1631806788.2818422,80,1.009054183959961
1631806911.2555914,90,1.006482481956482
1631807035.5606794,100,0.9848355650901794
1631807158.0528421,110,0.9462517499923706
1631807280.9630313,120,0.993094265460968
1631807404.401007,130,0.9460296034812927
1631807527.52562,140,0.789255678653717
1631807650.076923,150,0.8038685321807861
1631807772.3944712,160,0.7487010359764099
1631807895.2426467,170,0.7084239721298218
1631808017.1939182,180,0.7553274035453796
1631808140.8304927,190,0.7018373012542725
1631808264.6592398,200,0.7609441876411438
1631808387.5639226,210,0.7277997732162476
1631808511.0249338,220,0.7043840885162354
1631808634.1715288,230,0.7540948390960693
1631808757.7238214,240,0.7841828465461731
1631808880.8883152,250,0.7347778677940369
1631809003.8684175,260,0.6904186010360718
1631809127.00984,270,0.7392624020576477
1631809243.8165827,280,0.728773832321167
1631809366.7490473,290,0.7888092398643494
1631809490.7352312,300,0.7292762398719788
1631809613.8158495,310,0.7368123531341553
1631809736.9630396,320,0.7364017963409424
1631809860.8758469,330,0.6952623724937439
1631809983.7227528,340,0.6523022651672363
1631810107.123915,350,0.7281337976455688
1631810230.213431,360,0.6675641536712646
1631810351.5706408,370,0.7148969769477844
1631810472.8842802,380,0.6686948537826538
1631810593.9964705,390,0.6513504385948181
1631810715.8411615,400,0.6603021621704102
1631810839.7960858,410,0.6138916015625
1631810961.899047,420,0.5351205468177795
1631811082.5519478,430,0.49959796667099
1631811204.675928,440,0.5276681184768677
1631811327.763837,450,0.5371206998825073
1631811448.29924,460,0.6051633358001709
1631811569.3220704,470,0.49870219826698303
1631811692.0585558,480,0.48169344663619995
1631811814.8275983,490,0.5001461505889893
1631811936.19167,500,0.5689212083816528
1631812059.4210703,510,0.48655423521995544
1631812183.1166642,520,0.5499974489212036
1631812302.902032,530,0.502260684967041
1631812426.932821,540,0.4884832203388214
1631812550.272631,550,0.5094261765480042
1631812671.6017504,560,0.44386008381843567
1631812791.8120837,570,0.5762878060340881
1631812914.6580596,580,0.6057237386703491
1631813036.8985326,590,0.5384607911109924
1631813151.7030394,600,0.46002617478370667
1631813269.6183841,610,0.5100449919700623
1631813393.4680328,620,0.5463147759437561
1631813515.8514597,630,0.5713653564453125
1631813639.1651082,640,0.4772595763206482
1631813762.9384913,650,0.4690743684768677
1631813886.591039,660,0.39473971724510193
1631814009.1691859,670,0.544182300567627
1631814133.3368912,680,0.48898524045944214
1631814254.1522033,690,0.46019670367240906
1631814374.8125181,700,0.47806963324546814
1631814497.37212,710,0.45601123571395874
1631814618.913381,720,0.49589481949806213
1631814740.8743243,730,0.609163224697113
1631814863.1783826,740,0.48506641387939453
1631814986.1680686,750,0.4479929208755493
1631815107.1525366,760,0.39029133319854736
1631815228.1200354,770,0.457257479429245
1631815351.8563383,780,0.42422568798065186
1631815473.619631,790,0.4393991231918335
1631815595.1791086,800,0.45780470967292786
1631815717.6567855,810,0.4072061777114868
1631815840.665954,820,0.5173782706260681
1631815962.7182078,830,0.41153061389923096
1631816084.0831,840,0.42160764336586
1631816205.4323108,850,0.3957118093967438
1631816328.0507338,860,0.465822696685791
1631816451.1843565,870,0.4526181221008301
1631816574.1277726,880,0.4459991455078125
1631816696.8704305,890,0.38817062973976135
1631816819.890428,900,0.3867127597332001
1631816942.0962076,910,0.4253672957420349
1631817064.1561046,920,0.40640419721603394
1631817182.9808302,930,0.3910394608974457
1631817304.8809187,940,0.387052446603775
1631817428.6691155,950,0.371564120054245
1631817549.9550493,960,0.38543054461479187
1631817661.8639314,970,0.424109548330307
1631817762.9124808,980,0.4113454222679138
1631817863.9843078,990,0.501086413860321
1631817964.8603835,1000,0.4352172017097473
