Wall time,Step,Value
1628503133.0004492,1,0.22699196636676788
1628503141.5444653,2,0.22411535680294037
1628503150.057047,3,0.22377444803714752
1628503158.7008584,4,0.2213979959487915
1628503167.0926676,5,0.22024314105510712
1628503175.5577266,6,0.21893303096294403
1628503184.0085397,7,0.21805411577224731
1628503192.3512065,8,0.21679462492465973
1628503200.7889388,9,0.21415764093399048
1628503209.2282453,10,0.21372102200984955
1628503217.5783777,11,0.20381209254264832
1628503225.9572716,12,0.19747458398342133
1628503234.2982848,13,0.19004566967487335
1628503242.6231587,14,0.17251195013523102
1628503248.6969423,15,0.174390509724617
1628503254.9388404,16,0.16330072283744812
1628503262.6221159,17,0.10905236005783081
1628503270.9675095,18,0.10362326353788376
1628503279.3700397,19,0.11434575915336609
1628503287.7222083,20,0.09591782838106155
1628503296.2019317,21,0.08734741806983948
1628503304.5934474,22,0.09833499044179916
1628503313.0339649,23,0.06452145427465439
1628503321.471647,24,0.07297945767641068
1628503329.8445601,25,0.0847211554646492
1628503338.2830303,26,0.0672478973865509
1628503346.593631,27,0.05949201434850693
1628503354.9913008,28,0.05425284057855606
1628503363.4162993,29,0.06963102519512177
1628503371.849034,30,0.06930320709943771
1628503380.2467701,31,0.06574466824531555
1628503388.7522564,32,0.07188468426465988
1628503397.146618,33,0.07348717004060745
1628503405.507431,34,0.07177731394767761
1628503413.9507627,35,0.06193475052714348
1628503422.356738,36,0.05585053935647011
1628503430.7918684,37,0.0486316941678524
1628503439.170416,38,0.05859987437725067
1628503447.5034027,39,0.06589747220277786
1628503455.8748937,40,0.05823475494980812
1628503464.0668397,41,0.0756298378109932
1628503472.4935102,42,0.05158914253115654
1628503480.7947705,43,0.06290245801210403
1628503489.2306392,44,0.04432522505521774
1628503497.6006205,45,0.0558413602411747
1628503506.0180416,46,0.04212820902466774
1628503514.344315,47,0.05552659556269646
1628503522.7070248,48,0.061049431562423706
1628503531.1790054,49,0.03716888278722763
1628503539.5371296,50,0.04318796470761299
1628503547.9772153,51,0.041098326444625854
1628503556.4205372,52,0.03630201146006584
1628503564.8104117,53,0.039089541882276535
1628503573.3362439,54,0.05848873779177666
1628503581.602203,55,0.04395011439919472
1628503589.9670277,56,0.041299354285001755
1628503598.3646138,57,0.04372693598270416
1628503606.8062167,58,0.048917315900325775
1628503615.2710087,59,0.05200865864753723
1628503623.755693,60,0.03518558293581009
1628503632.1022477,61,0.04543845355510712
1628503640.3552063,62,0.037867188453674316
1628503648.7284255,63,0.03343718498945236
1628503657.0764418,64,0.04578762501478195
1628503665.4584472,65,0.04516305774450302
1628503673.8405097,66,0.04754984751343727
1628503682.1732345,67,0.04276416078209877
1628503690.433517,68,0.051901549100875854
1628503698.922835,69,0.037666887044906616
1628503707.308042,70,0.04076128080487251
1628503715.1314087,71,0.03523793816566467
1628503721.6768,72,0.031641557812690735
1628503729.8132849,73,0.03425968065857887
1628503738.1929085,74,0.0363905094563961
1628503746.6978328,75,0.030702553689479828
